Class Venues,Seating Capacity,isAvailable
Acad Block A-1,55,yes
Acad Block A-10,100,yes
Acad Block A-11,107,yes
Acad Block A-12,86,yes
Acad Block A-14,79,yes
Acad Block A-15,79,yes
Acad Block A-16,79,yes
Acad Block A-2,31,yes
Acad Block A-3,71,yes
Acad Block A-4,83,yes
Acad Block A-5,57,yes
Acad Block A-6,28,yes
Acad Block A-7,71,yes
Acad Block A-8,83,yes
Acad Block A-9,51,yes
Acad Block MCB Acad Block A-13,202,yes
Acad Block SS,195,yes
LAB-1,79,yes
LAW-FACLOU,32,yes
Lib Bldg SOE 01,62,yes
Lib Bldg SOE 02,62,yes
Lib Bldg SOE 03,62,yes
SAHSOL ARDCR 0-07,71,yes
SAHSOL CR 1-01,71,yes
SAHSOL CR 1-06,32,yes
SAHSOL CR 1-07,71,yes
SAHSOL CR 2-01,32,yes
SAHSOL CR 2-02,32,yes
SAHSOL CR 2-06,32,yes
SAHSOL CR 2-07,32,yes
SAHSOL GHKCR 0-02,32,yes
SAHSOL MMACR 1-02,32,yes
SAHSOL SBACR 0-01,71,yes
SAHSOL SIACR 0-06,32,yes
SBASSE 10-201,224,yes
SBASSE 10-202,50,yes
SBASSE 10-204,40,yes
SBASSE 10-301,224,yes
SBASSE 10-302,30,yes
SBASSE 10-304,50,yes
SBASSE 9-B2,264,yes
SBASSE PRGST,102,yes
SDSB 101,60,yes
SDSB 105,56,yes
SDSB 201,60,yes
SDSB 203,86,yes
SDSB 204,86,yes
SDSB 205,40,yes
SDSB 305,42,yes
SDSB B-1,150,yes
SDSB B-2,150,yes
SDSB B-3,286,yes
SDSB TRDLB,82,yes